carro	especificacao	cor	km	anomod	preco
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2013/2014	32890
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2013/2014	32900
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2013/2014	33240
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	vermelho	0	2013/2014	33240
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2013/2013	33250
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	preto	0	2013/2013	33250
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	preto	0	2013/2014	33295
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	vermelho	0	2014/2014	33490
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	33890
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	33990
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	preto	0	2014/2014	34590
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	34615
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	34615
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	34990
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	34995
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	34995
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	34995
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	vermelho	0	2014/2014	35395
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	35490
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2013/2014	35900
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	35990
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	39990
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	preto	0	2014/2014	33000
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	vermelho	0	2013/2014	33290
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2013/2014	33295
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	preto	0	2013/2014	33295
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	33999
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	preto	0	2013/2014	34290
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	preto	0	2014/2014	34490
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	34590
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	34615
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	cinza	0	2013/2014	34795
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	preto	0	2012/2013	34800
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	34995
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	preto	0	2014/2014	35395
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	35395
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	preto	0	2014/2014	35490
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	preto	0	2013/2014	35890
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	35900
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	preto	0	2014/2014	35990
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2013/2013	36900
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	36900
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	vermelho	0	2014/2014	36900
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	preto	0	2014/2014	36900
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	azul	0	2013/2014	37990
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	prata	0	2014/2014	38990
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	vermelho	0	2013/2013	39900
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	vermelho	0	2014/2014	39990
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	preto	0	2013/2014	51890
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	preto	0	2013/2013	32935
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2013/2014	32999
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	vermelho	0	2013/2013	33400
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2013/2014	33900
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2012/2013	33935
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	vermelho	0	2013/2013	33935
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	preto	0	2013/2014	33990
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	preto	0	2013/2014	34150
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	34500
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2013/2014	34510
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	34590
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	preto	0	2014/2014	34790
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	34790
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2013/2014	34900
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	prata	0	2013/2014	34990
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	34994
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	preto	0	2014/2014	34994
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	35595
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	vermelho	0	2014/2014	35600
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	prata	0	2014/2014	35790
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2014/2014	35990
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	branco	0	2013/2014	36000
hb20	HYUNDAI HB20 1.0 COMFORT 12V FLEX 4P MANUAL	preto	0	2013/2014	36290
